name,population
Ackley city,"1,564"
Ackworth city,118
Adair city,794
Adel city,"6,453"
Afton city,853
Agency city,615
Ainsworth city,513
Akron city,"1,540"
Albert City city,660
Albia city,"3,690"
Albion city,443
Alburnett city,668
Alden city,744
Alexander city,165
Algona city,"5,375"
Alleman city,433
Allerton city,427
Allison city,952
Alta Vista city,221
Alta city,"2,042"
Alton city,"1,236"
Altoona city,"21,503"
Alvord city,215
Amana CDP,471
Ames city,"66,950"
Anamosa city,"5,521"
Anderson CDP,56
Andover city,108
Andrew city,378
Anita city,965
Ankeny city,"72,222"
Anthon city,531
Aplington city,"1,095"
Arcadia city,566
Archer city,114
Aredale city,59
Argo CDP,0
Argyle CDP,45
Arion city,97
Arispe city,94
Arlington city,419
Armstrong city,845
Arnolds Park city,"1,142"
Arthur city,218
Asbury city,"5,977"
Ashton city,439
Aspinwall city,34
Atalissa city,289
Athelstan CDP,5
Atkins city,"2,117"
Atlantic city,"6,769"
Auburn city,257
Audubon city,"2,020"
Augusta CDP,52
Aurelia city,952
Aurora city,168
Avoca city,"1,675"
Ayrshire city,125
Badger city,535
Bagley city,229
Baldwin city,98
Balltown city,77
Bancroft city,682
Bankston city,23
Barnes City city,151
Barnum city,174
Bartlett CDP,10
Bassett city,43
Batavia city,431
Battle Creek city,687
Baxter city,974
Bayard city,401
Beacon city,430
Beaconsfield city,15
Beaman city,156
Beaver city,45
Beaverdale CDP,906
Bedford city,"1,490"
Belle Plaine city,"2,326"
Bellevue city,"2,327"
Belmond city,"2,404"
Bennett city,340
Bentley CDP,152
Benton city,40
Berkley city,22
Bernard city,116
Bertram city,266
Bettendorf city,"39,548"
Bevington city,57
Big Rock CDP,20
Birmingham city,373
Blairsburg city,173
Blairstown city,708
Blakesburg city,271
Blanchard city,29
Blencoe city,226
Blockton city,124
Bloomfield city,"2,767"
Blue Grass city,"1,678"
Bode city,303
Bolan CDP,8
Bonaparte city,359
Bondurant city,"8,710"
Boone city,"12,406"
Bouton city,127
Boxholm city,178
Boyden city,692
Braddyville city,144
Bradford CDP,194
Bradgate city,74
Brandon city,333
Brayton city,139
Breda city,496
Bridgewater city,148
Brighton city,594
Bristow city,143
Britt city,"2,017"
Bronson city,295
Brooklyn city,"1,468"
Brunsville city,127
Buck Grove city,30
Buckeye city,83
Buffalo Center city,853
Buffalo city,"1,164"
Burchinal CDP,21
Burlington city,"23,611"
Burr Oak CDP,213
Burt city,407
Bussey city,375
Calamus city,352
California Junction CDP,49
Callender city,361
Calmar city,"1,103"
Calumet city,145
Camanche city,"4,565"
Cambridge city,831
Cantril city,223
Carbon city,31
Carlisle city,"4,283"
Carpenter city,89
Carroll city,"10,184"
Carson city,765
Carter Lake city,"3,760"
Cascade city,"2,384"
Casey city,386
Castalia city,142
Castana city,102
Cedar Falls city,"40,746"
Cedar Rapids city,"136,429"
Center Junction CDP,126
Center Point city,"2,559"
Centerville city,"5,310"
Central City city,"1,247"
Centralia city,115
Chapin CDP,160
Chariton city,"4,218"
Charles City city,"7,239"
Charlotte city,390
Charter Oak city,518
Chatsworth city,74
Chelsea city,222
Cherokee city,"5,117"
Chester city,138
Chillicothe city,75
Churdan city,363
Cincinnati city,283
Clare city,132
Clarence city,"1,021"
Clarinda city,"5,353"
Clarion city,"2,749"
Clarksville city,"1,250"
Clayton city,46
Clear Lake city,"7,529"
Clearfield city,277
Cleghorn city,235
Clemons city,135
Clermont city,577
Climbing Hill CDP,69
Clinton city,"24,391"
Clio city,66
Clive city,"18,908"
Clutier city,211
Coalville CDP,564
Coburg city,28
Coggon city,693
Coin city,176
Colesburg city,383
Colfax city,"2,253"
College Springs city,171
Collins city,498
Colo city,846
Columbus City city,386
Columbus Junction city,"1,796"
Colwell city,53
Conesville city,347
Conrad city,"1,094"
Conroy CDP,158
Conway city,16
Coon Rapids city,"1,279"
Coppock city,39
Coralville city,"23,125"
Corley CDP,6
Corning city,"1,522"
Correctionville city,746
Corwith city,265
Corydon city,"1,512"
Cotter city,38
Coulter city,217
Council Bluffs city,"62,405"
Craig city,76
Crawfordsville city,277
Crescent city,624
Cresco city,"3,940"
Creston city,"7,384"
Cromwell city,104
Crystal Lake city,250
Cumberland city,251
Cumming city,487
Curlew city,38
Cushing city,225
Cylinder city,85
Dakota City city,758
Dallas Center city,"1,955"
Dana city,35
Danbury city,312
Danville city,905
Davenport city,"100,486"
Davis City city,181
Dawson city,112
Dayton city,758
De Soto city,935
DeWitt city,"5,531"
Decatur City city,178
Decorah city,"7,680"
Dedham city,219
Deep River city,247
Defiance city,245
Delaware city,139
Delhi city,427
Delmar city,540
Deloit city,243
Delphos CDP,33
Delta city,257
Denison city,"8,172"
Denmark CDP,651
Denver city,"1,942"
Derby city,91
Des Moines city,"211,034"
Dexter city,635
Diagonal city,340
Diamondhead Lake CDP,243
Dickens city,148
Dike city,"1,297"
Dixon city,203
Dolliver city,62
Donahue city,330
Donnellson city,870
Doon city,637
Douds CDP,63
Dougherty city,63
Dow City city,470
Downey CDP,66
Dows city,514
Drakesville city,167
Dubuque city,"58,873"
Dumont city,628
Duncan CDP,100
Duncombe city,374
Dundee city,194
Dunkerton city,831
Dunlap city,"1,041"
Durango city,20
Durant city,"1,850"
Dyersville city,"4,550"
Dysart city,"1,261"
Eagle Grove city,"3,565"
Earlham city,"1,423"
Earling city,388
Earlville city,719
Early city,581
East Amana CDP,43
East Peru city,118
Eddyville city,956
Edgewood city,913
Elberon city,178
Eldon city,777
Eldora city,"2,610"
Eldridge city,"6,756"
Elgin city,678
Elk Horn city,619
Elk Run Heights city,"1,057"
