,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.address,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.uid,network.id,extra.ebikes,extra.has_ebikes,extra.bike_uids,extra.number,extra.slots,lat_long_str,addressLine,adminDistrict,adminDistrict2,countryRegion,formattedAddress,locality,postalCode,intersection.baseStreet,intersection.secondaryStreet1,intersection.intersectionType,intersection.displayName,intersection.secondaryStreet2
0,1.0,14.0,d0e8f4f1834b7b33a3faf8882f567ab8,37.849735,-122.270582,Harmon St at Adeline St,2022-10-26T19:29:35.003000Z,,1666812555.0,"['key', 'creditcard']",True,1.0,1.0,fd89514c-f878-4cd5-8113-8e5beead44de,bay-wheels,0.0,True,,,,"37.849735,-122.270582",1881 Harmon St,CA,Alameda Co.,United States,"1881 Harmon St, Berkeley, CA 94703, United States",Berkeley,94703,Harmon St,Adeline St,Near,Harmon St and Adeline St,
1,7.0,4.0,983514094dd808b1604da2dcfc2d09af,37.33618830029063,-121.8892765045166,Fountain Alley at S 2nd St,2022-10-26T19:29:34.722000Z,,1666812460.0,"['key', 'creditcard']",True,1.0,1.0,d12ba265-5bfe-4a00-a19a-a7299822bd65,bay-wheels,0.0,True,,,,"37.33618830029063,-121.8892765045166",17 S 2nd St,CA,Santa Clara Co.,United States,"17 S 2nd St, San Jose, CA 95113, United States",Downtown San Jose,95113,S 2nd St,Fountain Alley,Near,S 2nd St and Fountain Alley,
2,5.0,18.0,da17603652106fda93da4e255a5b0a22,37.322124625448566,-121.88109040260316,Oak St at 1st St,2022-10-26T19:29:34.988000Z,,1666812507.0,"['key', 'creditcard']",True,1.0,1.0,0fd9a51c-67ac-4048-b531-bff644b82f47,bay-wheels,0.0,True,,,,"37.322124625448566,-121.88109040260316",35 Oak St,CA,Santa Clara Co.,United States,"35 Oak St, San Jose, CA 95110, United States",Washington Guadalupe,95110,Oak St,State St,Between,"Oak St, between State St and Martha St",Martha St
3,8.0,7.0,7a21c92b3b4cd2f7759107b4fdebf869,37.3236779,-121.8741186,Bestor Art Park,2022-10-26T19:29:34.815000Z,,1666812489.0,"['key', 'creditcard']",True,1.0,1.0,46b4ef45-b06b-40eb-9fdf-9bc8ff104a4f,bay-wheels,1.0,True,,,,"37.3236779,-121.8741186",271 Bestor St,CA,Santa Clara Co.,United States,"271 Bestor St, San Jose, CA 95112, United States",Fairgrounds,95112,Bestor St,S 6th St,Near,Bestor St and S 6th St,
4,10.0,16.0,ce34d38fb230a23c1ced12d1e16df294,37.3259984,-121.87712,5th St at Virginia St,2022-10-26T19:29:34.938000Z,,1666812498.0,"['key', 'creditcard']",True,1.0,1.0,bb54f5c8-5578-4167-9599-8e55154de4fd,bay-wheels,1.0,True,,,,"37.3259984,-121.87712",826A S 5th St,CA,Santa Clara Co.,United States,"826A S 5th St, San Jose, CA 95112, United States",Fairgrounds,95112,S 5th St,E Virginia St,Near,S 5th St and E Virginia St,
5,12.0,7.0,a3b487ad4ac93ab3e9f9654f87ed8c1e,37.3229796,-121.8879312,Locust St at Grant St,2022-10-26T19:29:34.972000Z,,1666812456.0,"['key', 'creditcard']",True,1.0,1.0,676591be-48bc-4653-995a-c4536e793135,bay-wheels,0.0,True,,,,"37.3229796,-121.8879312",745 Vine St,CA,Santa Clara Co.,United States,"745 Vine St, San Jose, CA 95110, United States",Washington Guadalupe,95110,,,,,
6,17.0,8.0,b4b0088fb4fbb4587cad9d89ddc092cd,37.327581,-121.884559,Pierce Ave at Market St,2022-10-26T19:29:34.850000Z,,1666812468.0,"['key', 'creditcard']",True,1.0,1.0,d6c452d5-88d5-48e2-8028-d46134c2beb8,bay-wheels,1.0,True,,,,"37.327581,-121.884559",545 S Market St,CA,Santa Clara Co.,United States,"545 S Market St, San Jose, CA 95113, United States",Market Almaden,95113,S Market St,Pierce Ave,Near,S Market St and Pierce Ave,
7,1.0,22.0,d576652cc151c23d6ec52b8454429d47,37.3327938,-121.8759263,William St at 10th St,2022-10-26T19:29:34.979000Z,,1666812480.0,"['key', 'creditcard']",True,1.0,1.0,753e3e72-9498-4eef-a006-be1848cb36b3,bay-wheels,1.0,True,,,,"37.3327938,-121.8759263",315 E William St,CA,Santa Clara Co.,United States,"315 E William St, San Jose, CA 95112, United States",South University,95112,E William St,S 9th St,Between,"E William St, between S 9th St and S 10th St",S 10th St
8,18.0,1.0,0a24b6ab9ca6684780b6682901b3c680,37.3448821,-121.8969655,Empire St at 1st St,2022-10-26T19:29:34.764000Z,,1666812553.0,"['key', 'creditcard']",True,1.0,1.0,7d8f4de7-d726-4af2-95b5-33032136239a,bay-wheels,0.0,True,,,,"37.3448821,-121.8969655",528 N 1st St,CA,Santa Clara Co.,United States,"528 N 1st St, San Jose, CA 95112, United States",Jackson Taylor,95112,N 1st St,E Empire St,Near,N 1st St and E Empire St,
9,1.0,14.0,a4b234ab072402cbfcbd5e306588d9a9,37.3413348,-121.9031829,Autumn Parkway at Coleman Ave,2022-10-26T19:29:34.992000Z,,1666812518.0,"['key', 'creditcard']",True,1.0,1.0,3ebc4f3f-2941-47cd-a173-83f01a91bf57,bay-wheels,1.0,True,,,,"37.3413348,-121.9031829",438 Coleman Ave,CA,Santa Clara Co.,United States,"438 Coleman Ave, San Jose, CA 95110, United States",Downtown,95110,Coleman Ave,Autumn Pkwy,Between,"Coleman Ave, between Autumn Pkwy and Guadalupe River Trail",Guadalupe River Trail
10,25.0,6.0,c7d58812e5bcf9183e20ec387d0386a9,37.80781318217903,-122.26449608802795,Snow Park,2022-10-26T19:29:34.901000Z,,1666812512.0,"['key', 'creditcard']",True,1.0,1.0,5fdc3d6d-e9c8-47cf-874e-d2f012cfb217,bay-wheels,0.0,True,,,,"37.80781318217903,-122.26449608802795",346 Thomas L Berkley Way,CA,Alameda Co.,United States,"346 Thomas L Berkley Way, Oakland, CA 94612, United States",Downtown Oakland,94612,,,,,
11,2.0,13.0,ade8fb7d8bab829cc6b2b752c02882ff,37.8110807,-122.2432677,Lakeshore Ave at Trestle Glen Rd,2022-10-26T19:29:34.897000Z,,1666812483.0,"['key', 'creditcard']",True,1.0,1.0,717e6e13-e1b2-4c13-944d-823a556c1635,bay-wheels,0.0,True,,,,"37.8110807,-122.2432677",3399 Lakeshore Ave,CA,Alameda Co.,United States,"3399 Lakeshore Ave, Oakland, CA 94610, United States",Lakeshore,94610,,,,,
12,9.0,14.0,3a9baba8738c921ad820add914d8d365,37.80889393398715,-122.25646018981932,Grand Ave at Perkins St,2022-10-26T19:29:34.801000Z,,1666812516.0,"['key', 'creditcard']",True,1.0,1.0,d5eedd49-f998-4b8a-9d1a-22853da216aa,bay-wheels,0.0,True,,,,"37.80889393398715,-122.25646018981932",324 Grand Ave,CA,Alameda Co.,United States,"324 Grand Ave, Oakland, CA 94610, United States",Adams Point,94610,Grand Ave,Perkins St,Between,"Grand Ave, between Perkins St and Lee St",Lee St
