,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,Matches,cadd666a
2,Ragnar Ache,de GER,MFFW,Eint Frankfurt,23,1998,2.9,7,2.43,3,0,1,2,1,0,1,0.35,0,0,0,1,0,0,Matches,dc38e3bc
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0,Matches,2b09d998
4,Sargis Adamyan,am ARM,FWMF,Hoffenheim,28,1993,3.7,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,Matches,22919e97
5,Amine Adli,fr FRA,FWMF,Leverkusen,21,2000,14.0,47,3.37,37,1,3,4,2,0,6,0.43,5,0,0,1,0,0,Matches,dcfb17f4
6,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a6c58494
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,16,0.64,11,2,1,1,0,1,1,0.04,1,0,0,0,0,0,Matches,89ac64a6
8,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,26,1995,17.0,33,1.94,22,1,3,3,2,2,2,0.12,1,0,0,1,0,0,Matches,6ec6fde0
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,27,3.69,17,0,6,2,2,0,4,0.55,3,0,1,0,0,0,Matches,834d0be5
10,Nadiem Amiri,de GER,MFFW,Leverkusen,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches,555d5edd
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,20,1.43,16,0,0,1,2,1,4,0.29,3,0,0,0,1,0,Matches,b4cf5806
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,9,0.77,6,0,0,1,0,2,2,0.17,1,0,0,0,0,1,Matches,6ea23758
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,9,2.29,7,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,3724baa1
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,38,1.88,27,0,2,5,3,1,6,0.30,3,0,0,3,0,0,Matches,e0b113a7
15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,83,3.25,53,22,3,4,1,0,8,0.31,5,3,0,0,0,0,Matches,30941e96
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,40,1.39,31,0,1,2,2,4,2,0.07,2,0,0,0,0,0,Matches,5e66fa06
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,27,1994,12.6,28,2.23,15,1,1,5,6,0,2,0.16,1,0,0,0,1,0,Matches,0a3f6cde
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,40,2.28,34,3,1,1,1,0,5,0.28,4,0,1,0,0,0,Matches,56413b1f
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,106,3.19,56,45,2,0,3,0,4,0.12,2,1,0,0,1,0,Matches,86e119e0
20,Takuma Asano,jp JPN,FWMF,Bochum,26,1994,17.9,48,2.69,34,0,4,6,3,1,7,0.39,6,0,0,0,1,0,Matches,13ddc856
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,38,1.44,32,1,1,1,1,2,1,0.04,1,0,0,0,0,0,Matches,e26fcca3
22,Fisnik Asllani,xk KVX,MFFW,Hoffenheim,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,35f67a30
23,Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,11,1.26,8,3,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches,dfc85b89
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,67,2.77,46,0,8,10,3,0,6,0.25,2,0,2,1,1,0,Matches,e5478b87
25,Sardar Azmoun,ir IRN,FWMF,Leverkusen,26,1995,4.0,13,3.26,12,0,0,1,0,0,1,0.25,1,0,0,0,0,0,Matches,10549b49
26,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,20.2,38,1.88,33,0,1,1,1,2,6,0.30,6,0,0,0,0,0,Matches,a8567629
27,Ridle Baku,de GER,DFFW,Wolfsburg,23,1998,27.2,83,3.05,60,4,4,7,7,1,10,0.37,5,0,0,1,3,1,Matches,442b56fa
