,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,2.1,2.1,1.4,3.5,0.26,0.17,0.43,0.26,0.43,Matches,cadd666a
2,Ragnar Ache,de GER,MFFW,Eint Frankfurt,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.6,0.6,0.5,1.1,0.20,0.18,0.38,0.20,0.38,Matches,dc38e3bc
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,12,1351,15.0,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.8,1.1,0.02,0.06,0.07,0.02,0.07,Matches,2b09d998
4,Sargis Adamyan,am ARM,FWMF,Hoffenheim,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.4,0.4,0.5,0.9,0.12,0.13,0.25,0.12,0.25,Matches,22919e97
5,Amine Adli,fr FRA,FWMF,Leverkusen,21,2000,25,13,1256,14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.8,4.8,2.0,6.8,0.34,0.15,0.49,0.34,0.49,Matches,dcfb17f4
6,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a6c58494
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,25,2261,25.1,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.9,1.9,0.1,2.0,0.08,0.01,0.08,0.08,0.08,Matches,89ac64a6
8,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,26,1995,26,19,1527,17.0,2,2,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,1.4,1.4,2.6,4.1,0.08,0.16,0.24,0.08,0.24,Matches,6ec6fde0
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,5,655,7.3,6,0,6,0,1,2,0,0.82,0.00,0.82,0.82,0.82,6.2,5.4,1.2,6.6,0.85,0.16,1.02,0.75,0.91,Matches,834d0be5
10,Nadiem Amiri,de GER,MFFW,Leverkusen,24,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.4,0.9,0.13,0.10,0.23,0.13,0.23,Matches,555d5edd
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,13,1257,14.0,3,1,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,4.6,4.6,1.1,5.8,0.33,0.08,0.41,0.33,0.41,Matches,b4cf5806
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,12,1046,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.6,0.03,0.02,0.06,0.03,0.06,Matches,6ea23758
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,2,353,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,3724baa1
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,21,1817,20.2,4,2,4,0,0,5,1,0.20,0.10,0.30,0.20,0.30,3.8,3.4,1.4,4.8,0.19,0.07,0.26,0.17,0.24,Matches,e0b113a7
