,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,Matches,1f462f95
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,75,2.99,48,19,2,3,3,0,3,0.12,1,2,0,0,0,0,Matches,81442ecb
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,33,1.84,25,3,2,0,2,1,3,0.17,2,0,1,0,0,0,Matches,355c883a
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a2c1a8d3
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,3,1.78,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4d034881
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,93b054dc
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,18,0.61,14,0,0,1,0,3,3,0.10,2,0,0,0,0,1,Matches,18abe173
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,25,1.22,16,4,1,1,3,0,1,0.05,1,0,0,0,0,0,Matches,f2a68b97
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,9,6.53,5,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches,b8bd60fe
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,7,1.22,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,31f5b89b
11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,46,1.57,37,2,0,4,0,3,8,0.27,7,0,0,1,0,0,Matches,05439de2
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,29,1.83,14,12,1,0,0,2,2,0.13,0,2,0,0,0,0,Matches,99ea2ddd
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,89,3.03,82,3,0,2,2,0,14,0.48,13,0,0,1,0,0,Matches,4601e194
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,10,0.37,8,0,0,1,0,1,2,0.07,1,0,0,1,0,0,Matches,4bd414c1
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,16,1.83,12,0,1,2,0,1,6,0.69,5,0,1,0,0,0,Matches,a7a9d95a
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,39,3.18,28,5,1,2,3,0,1,0.08,1,0,0,0,0,0,Matches,036bba5f
