,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,1906,212,1012,839,84,24,1906,14,18,77.8,28,13,1199,10,Matches,32c2d95f
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,1943,39,562,1140,257,15,1943,26,41,63.4,42,30,1477,41,Matches,82464ce3
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,2020,24,405,1286,358,14,2020,39,61,63.9,52,40,1402,59,Matches,31626657
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,12,0,0,5,8,1,12,0,0,,3,0,8,3,Matches,469d3d84
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,18,1,1,5,12,3,18,3,6,50.0,1,3,11,5,Matches,0e46fa2f
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,9,0,2,5,2,0,9,0,0,,0,0,8,0,Matches,1e93fc5d
7,Martin Adeline,fr FRA,MFFW,Reims,17,2003,3.9,194,8,43,91,64,7,194,6,9,66.7,8,6,98,10,Matches,7587446d
8,Yacine Adli,fr FRA,MFFW,Bordeaux,21,2000,25.1,1519,16,265,789,485,45,1519,46,80,57.5,59,47,1045,72,Matches,26777636
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,1206,55,352,666,204,30,1206,22,32,68.8,19,17,738,27,Matches,8bc8829a
10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,2471,221,1146,1273,59,34,2471,5,6,83.3,7,4,1847,0,Matches,288e1e13
11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,1975,77,507,1008,478,27,1975,5,11,45.5,31,5,1185,56,Matches,3dd738a1
12,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22,1999,15.0,1006,94,459,494,60,13,1006,1,4,25.0,8,5,667,10,Matches,eab957a3
13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,536,11,83,317,145,17,536,11,23,47.8,21,10,339,31,Matches,48b28bfd
14,Ludovic Ajorque,re REU,FW,Strasbourg,27,1994,30.4,1219,37,102,645,486,135,1216,14,27,51.9,70,36,935,205,Matches,462475ed
15,Maghnes Akliouche,fr FRA,MFFW,Monaco,19,2002,0.6,34,0,3,12,19,3,34,0,1,0.0,5,1,29,4,Matches,b625b241
16,Sofiane Alakouch,ma MAR,DFMF,Metz,23,1998,1.8,126,6,31,68,29,0,126,2,4,50.0,6,2,82,3,Matches,5314e067
17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,10,2,5,4,1,1,10,0,0,,0,0,6,2,Matches,3d738df0
18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,418,333,414,4,0,0,418,0,0,,0,0,209,0,Matches,9e17ccff
19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,569,2,42,225,312,72,569,25,58,43.1,91,32,405,132,Matches,f8405304
20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,743,8,101,336,321,64,743,32,68,47.1,42,40,584,96,Matches,1956b948
21,Ibrahim Amadou,fr FRA,DFMF,Metz,28,1993,9.0,517,45,250,255,16,4,517,6,7,85.7,9,5,362,1,Matches,9260926b
22,Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,378,11,85,235,63,0,378,5,9,55.6,6,4,232,8,Matches,22721b88
23,Jordan Amavi,fr FRA,DFFW,Marseille,27,1994,1.4,100,2,24,61,17,1,100,0,2,0.0,2,3,69,2,Matches,22721b88
24,Benjamin André,fr FRA,MF,Lille,30,1990,30.6,2163,101,540,1308,339,35,2163,20,25,80.0,54,26,1365,46,Matches,ef9c1c95
25,Houssem Aouar,fr FRA,MFFW,Lyon,23,1998,27.8,1798,14,177,996,659,107,1798,70,129,54.3,72,52,1394,153,Matches,a5db0bec
26,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,19,2002,12.0,775,4,101,424,267,22,775,15,40,37.5,31,17,529,45,Matches,b94b8be1
27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,1240,103,472,573,208,6,1240,14,30,46.7,23,5,676,25,Matches,feb5d3ab
28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,455,26,120,185,155,17,455,5,10,50.0,10,6,250,23,Matches,b026bbf6
29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,895,27,219,404,287,30,895,18,39,46.2,19,19,536,50,Matches,6a827d8e
30,Jean-Kévin Augustin,fr FRA,FWMF,Nantes,24,1997,0.9,26,0,1,16,9,3,26,0,0,,7,3,19,7,Matches,97bfa797
31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,181,14,108,60,15,1,181,1,3,33.3,3,2,111,2,Matches,eaf71a5e
32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,829,84,424,391,18,7,829,4,5,80.0,4,1,611,2,Matches,114bbdee
33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,1570,147,640,905,30,19,1570,2,4,50.0,7,5,1056,6,Matches,06df8256
34,Youssouph Badji,sn SEN,FWMF,Brest,19,2001,1.5,44,0,0,16,28,7,44,0,0,,4,1,35,11,Matches,6a2b9aee
35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,350,6,23,182,150,33,350,7,14,50.0,40,17,249,77,Matches,5046b7d4
36,Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,97,16,46,51,1,1,97,0,0,,0,0,65,0,Matches,5065d67d
37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,204,167,202,2,0,0,204,0,0,,0,0,68,0,Matches,be13e5a8
38,Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,113,2,8,34,71,28,113,1,2,50.0,10,1,82,29,Matches,0af4dcf0
39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,196,15,109,89,1,1,196,4,5,80.0,6,2,91,0,Matches,ee95585f
40,Dilane Bakwa,fr FRA,FWMF,Bordeaux,18,2002,0.5,24,1,2,13,9,2,24,1,3,33.3,1,1,14,2,Matches,2b5a35e5
41,Ibrahima Baldé,fr FRA,FWMF,Lens,18,2003,0.6,16,0,1,7,8,1,16,0,2,0.0,3,0,10,2,Matches,a30cb0d4
42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,919,79,404,507,11,4,919,11,13,84.6,8,6,677,1,Matches,7c3ed041
43,Abdoulaye Bamba,ci CIV,DFFW,Angers,31,1990,5.1,233,18,81,89,65,6,233,0,1,0.0,10,1,112,6,Matches,7fecbcdb
44,Jonathan Bamba,fr FRA,MFFW,Lille,25,1996,27.0,1489,16,187,681,649,78,1489,34,103,33.0,76,57,1054,124,Matches,b2bd0f6c
45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,49,2,3,16,32,5,49,4,6,66.7,2,3,36,7,Matches,be47b750
46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,60,12,32,28,0,0,60,0,0,,4,0,35,0,Matches,0557ff4f
47,Bradley Barcola,fr FRA,FWMF,Lyon,18,2002,2.9,122,5,24,44,58,16,122,2,8,25.0,6,3,66,19,Matches,a0d55a09
48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,2140,86,592,1202,386,14,2140,22,37,59.5,41,17,1286,46,Matches,1ddbc7ca
