,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,25,0.75,16,0,2,1,0,6,1,0.03,1,0,0,0,0,0,Matches,32c2d95f
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,53,1.94,41,0,0,4,4,4,4,0.15,3,0,0,0,0,1,Matches,82464ce3
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,82,2.50,65,2,3,1,7,4,9,0.27,8,0,0,0,1,0,Matches,31626657
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,469d3d84
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0e46fa2f
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1e93fc5d
7,Martin Adeline,fr FRA,MFFW,Reims,17,2003,3.9,10,2.56,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,7587446d
8,Yacine Adli,fr FRA,MFFW,Bordeaux,21,2000,25.1,120,4.78,80,22,6,3,5,4,18,0.72,13,3,1,0,1,0,Matches,26777636
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,35,1.69,28,1,1,4,1,0,2,0.10,2,0,0,0,0,0,Matches,8bc8829a
