,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,34,34,2983,33.1,2,0,2,0,0,5,1,0.06,0.00,0.06,0.06,0.06,1.5,1.5,0.9,2.4,0.04,0.03,0.07,0.04,0.07,Matches,32c2d95f
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,31,29,2462,27.4,1,0,1,0,0,12,3,0.04,0.00,0.04,0.04,0.04,1.1,1.1,1.0,2.0,0.04,0.04,0.07,0.04,0.07,Matches,82464ce3
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,34,34,2956,32.8,0,2,0,0,0,9,0,0.00,0.06,0.06,0.00,0.06,2.1,2.1,4.4,6.4,0.06,0.13,0.20,0.06,0.20,Matches,31626657
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,469d3d84
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.49,0.00,0.49,0.49,0.49,Matches,0e46fa2f
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1e93fc5d
7,Martin Adeline,fr FRA,MFFW,Reims,17,2003,8,2,352,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.09,0.11,0.20,0.09,0.20,Matches,7587446d
8,Yacine Adli,fr FRA,MFFW,Bordeaux,21,2000,36,25,2260,25.1,1,7,1,0,0,5,0,0.04,0.28,0.32,0.04,0.32,2.3,2.3,6.2,8.6,0.09,0.25,0.34,0.09,0.34,Matches,26777636
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,27,21,1868,20.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.3,1.2,0.9,2.1,0.06,0.05,0.11,0.06,0.10,Matches,8bc8829a
