zipcode,median_income
6390,151083
10001,86801
10002,33726
10003,98151
10004,119691
10005,124194
10006,123691
10007,250000
10009,59090
10010,101718
10011,109818
10012,100859
10013,96667
10014,113973
10016,104826
10017,106421
10018,105500
10019,94022
10021,115076
10022,126378
10023,111478
10024,113839
10025,74065
10026,47264
10027,40782
10028,114939
10029,31350
10030,33196
10031,39774
10032,37280
10033,44933
10034,42581
10035,27424
10036,75966
10037,35491
10038,76379
10039,33558
10040,46200
10044,91383
10065,112869
10069,163750
10075,111691
10128,100200
10162,193510
10280,145432
10282,250000
10301,54605
10302,54170
10303,52553
10304,54106
10305,72782
10306,79686
10307,76857
10308,87174
10309,87509
10310,68080
10312,84584
10314,77331
10451,26048
10452,24790
10453,23095
10454,20210
10455,23253
10456,23956
10457,24750
10458,27912
10459,23761
10460,23209
10461,51568
10462,45760
10463,56482
10464,75208
10465,73776
10466,42478
10467,35117
10468,34784
10469,57207
10470,57706
10471,80222
10472,29308
10473,36764
10474,26585
10475,44923
10501,141563
10502,157132
10504,205912
10505,143750
10506,206207
10507,64351
10509,94226
10510,146723
10511,98370
10512,90095
10514,212528
10516,92381
10517,89250
10518,187898
10520,101932
10522,116671
10523,87353
10524,119583
10526,122250
10527,152212
10528,105570
10530,102317
10532,105739
10533,139574
10535,53636
10536,157875
10537,77396
10538,152500
10541,107901
10543,83827
10546,115278
10547,94982
10548,77059
10549,91184
10550,40698
10552,70991
10553,70513
10560,126905
10562,71773
10566,52125
10567,119521
10570,125814
10573,67206
10576,172714
10577,216250
10578,115714
10579,105694
10580,156595
10583,175123
10588,73054
10589,100240
10590,131607
10591,78388
10594,116950
10595,103889
10596,54432
10597,207895
10598,116862
10601,69234
10603,91884
10604,87396
10605,107325
10606,69579
10607,130982
10701,42238
10703,58244
10704,70272
10705,45446
10706,127632
10707,94427
10708,98014
10709,95625
10710,82324
10801,56101
10803,151607
10804,161445
10805,57672
10901,87444
10913,120929
10914,129632
10916,105104
10917,96077
10918,91471
10919,97703
10920,103344
10921,86071
10922,96875
10923,83734
10924,90184
10925,68125
10926,66394
10927,56061
10928,77969
10930,129477
10931,78162
10933,97845
10940,57007
10941,66141
10950,70645
10952,55595
10953,123600
10954,90743
10956,119899
10958,103203
10960,80141
10962,94303
10963,74821
10964,83257
10965,94352
10968,91581
10969,92500
10970,82856
10973,91250
10974,86006
10976,46750
10977,56598
10979,68125
10980,95214
10983,113036
10984,120341
10986,119671
10987,97279
10988,79375
10989,104285
10990,88452
10992,84830
10993,64627
10994,130060
10996,100385
10998,98036
11001,99691
11003,89831
11004,85968
11005,58894
11010,97741
11020,123438
11021,90993
11023,106699
11024,94243
11030,161786
11040,106654
11050,104261
11096,48449
11101,48013
11102,51123
11103,59243
11104,55294
11105,61646
11106,54109
11109,129505
11201,101150
11203,45936
11204,46560
11205,47575
11206,30779
11207,34252
11208,35698
11209,62761
11210,57565
11211,54406
11212,28207
11213,34701
11214,49828
11215,103716
11216,47107
11217,87091
11218,56120
11219,35974
11220,38893
11221,40635
11222,72409
11223,43019
11224,28006
11225,44911
11226,43399
11228,64250
11229,52168
11230,41068
11231,83310
11232,44474
11233,33745
11234,71115
11235,42818
11236,58705
11237,44950
11238,70873
11239,26186
11354,44741
11355,39168
11356,57194
11357,73750
11358,65258
11360,80235
11361,79158
11362,86758
11363,89219
11364,72477
11365,59520
11366,72486
11367,56557
11368,45004
11369,52310
11370,53427
11372,50485
11373,47588
11374,52132
11375,72414
11377,50436
11378,57127
11379,71551
11385,55331
11411,81149
11412,72458
11413,81287
11414,68374
11415,63756
11416,58392
11417,62057
11418,61480
11419,58266
11420,59660
11421,60996
11422,84955
11423,62179
11426,77146
11427,66007
11428,67151
11429,68684
11432,50702
11433,42964
11434,58076
11435,52686
11436,64005
11501,89347
11507,111875
11509,135750
11510,93768
11514,97692
11516,95720
11518,92901
11520,72628
11530,139821
11542,68647
11545,142219
11547,115917
11548,100893
11550,57003
11552,97254
11553,70201
11554,94214
11557,120617
11558,72292
11559,115252
11560,103594
11561,89252
11563,85194
11565,110110
11566,125992
11568,172750
11569,110398
11570,107442
11572,95750
11575,65890
11576,152910
11577,116667
11579,110696
11580,90536
11581,100787
11590,89083
11596,110575
11598,129907
11691,42023
11692,42127
11693,53281
11694,75094
11697,93333
11701,73494
11702,97294
11703,88983
11704,81072
11705,98321
11706,79086
11709,101221
11710,106204
11713,71101
11714,88750
11715,108009
11716,79968
11717,70208
11718,122692
11719,91488
11720,91224
11721,106786
11722,66570
11724,200313
11725,113613
11726,69123
11727,75408
11729,83122
11730,115402
11731,99360
11732,116125
11733,129358
11735,91156
11738,94522
11739,129464
11740,89102
11741,100133
11742,86381
11743,113750
11746,99414
11747,117288
11749,87976
11751,95191
11752,100108
11753,145947
11754,100101
11755,96654
11756,100773
11757,81330
11758,104128
11762,112083
11763,85450
11764,109153
11765,137500
11766,111397
11767,119319
11768,117023
11769,86000
11770,148750
11771,118264
11772,68077
11776,92280
11777,112660
11778,90658
11779,85972
11780,107170
11782,110869
11783,105915
11784,89699
11786,121875
11787,111961
11788,105019
11789,87955
11790,134536
11791,151627
11792,120997
11793,113481
11795,110815
11796,104236
11797,157216
11798,70343
11801,93759
11803,126536
11804,118900
11901,55450
11930,86083
11932,70461
11933,59605
11934,90080
11935,86125
11937,84847
11939,72500
11940,96607
11941,102135
11942,88784
11944,56029
11946,75670
11948,103112
11949,105279
11950,71088
11951,63043
11952,74313
11953,70829
11954,72903
11955,61667
11957,75375
11958,65288
11959,85125
11960,103151
11961,56236
11962,209125
11963,86111
11964,79091
11965,101771
11967,82682
11968,82024
11971,89074
11972,104444
11975,79250
11976,115547
11977,97045
11978,83203
11980,90313
12008,93250
12009,89605
12010,44711
12015,58533
12017,62917
12018,81205
12019,88059
12020,73712
12022,51719
12023,61488
12025,58923
12027,86656
12028,81923
12029,79000
12031,49167
12032,47130
12033,69733
12035,37647
12036,36875
12037,61188
12040,39063
12041,68571
12043,49869
12045,41250
12046,80129
12047,51313
12051,58664
12052,66012
12053,80082
12054,96813
12056,95714
12057,46797
12058,65000
12059,76250
12060,70278
12061,85043
12062,63258
12063,155658
12064,60119
12065,81192
12066,58672
12067,66875
12068,52473
12070,61250
12071,51563
12072,45000
12074,68690
12075,60544
12076,58478
12077,95135
12078,39810
12083,66250
12084,68080
12085,41985
12086,60417
12087,69531
12089,64375
12090,57181
12092,41500
12093,50900
12094,74625
12095,48142
12106,72417
12108,64750
12110,73997
12115,67083
12116,46458
12117,54420
12118,63750
12120,56250
12121,67243
12122,44738
12123,70331
12124,108977
12125,51741
12130,89750
12131,58750
12132,61150
12134,53214
12136,89276
12137,61563
12138,61296
12139,50625
12140,82564
12143,49803
12144,63286
12147,63000
