,Unnamed: 0,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xAG,npxG+xAG,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,shoot.90s,shoot.Gls,shoot.Sh,shoot.SoT,shoot.SoT%,shoot.Sh/90,shoot.SoT/90,shoot.G/Sh,shoot.G/SoT,shoot.Dist,shoot.FK,shoot.PK,shoot.PKatt,shoot.xG,shoot.npxG,shoot.npxG/Sh,shoot.G-xG,shoot.np:G-xG,pass.90s,pass.Cmp,pass.Att,pass.Cmp%,pass.TotDist,pass.PrgDist,pass.short.Cmp,pass.short.Att,pass.short.Cmp%,pass.med.Cmp,pass.med.Att,pass.med.Cmp%,pass.long.Cmp,pass.long.Att,pass.long.Cmp%,pass.Ast,pass.xAG,pass.xA,pass.A-xAG,pass.KP,pass.1/3,pass.PPA,pass.CrsPA,pass.Prog,defense.90s,defense.Plyrs_Tkld,defense.TklW,defense.Def 3rd,defense.Mid 3rd,defense.Att 3rd,defense.Tkl_Drib,defense.Att,defense.Tkl%,defense.Past,defense.Blocks,defense.Sh,defense.Pass,defense.Int,defense.Tkl+Int,defense.Clr,defense.Err,pos.90s,pos.Touches,pos.Def Pen,pos.Def 3rd,pos.Mid 3rd,pos.Att 3rd,pos.Att Pen,pos.Live,pos.drib.Succ,pos.drib.Att,pos.drib.Succ%,pos.drib.Mis,pos.drib.Dis,pos.rec.Rec,pos.rec.Prog,sca.S.90s,sca.S.SCA,sca.S.SCA90,sca.S.PassLive,sca.S.PassDead,sca.S.Drib,sca.S.Sh,sca.S.Fld,sca.S.Def,sca.S.GCA,sca.S.GCA90,sca.G.PassLive,sca.G.PassDead,sca.G.Drib,sca.G.Sh,sca.G.Fld,sca.G.Def,BaseGroup
1,1,Che Adams,sct SCO,FW,Southampton,25.0,30,23,2039,22.7,7,3,7,0,0,0,0,0.31,0.13,0.44,0.31,0.44,7.7,7.7,3.2,10.9,0.34,0.14,0.48,0.34,0.48,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0.0,0,0,7.7,7.7,0.16,-0.7,-0.7,22.7,304.0,20.792951541850222,64.4,184.4933920704846,44.801762114537446,188.0,11.277533039647578,73.4,73.0,4.669603524229075,68.9,18.0,1.497797356828194,52.9,3,3.2,1.7,-0.2,1.145374449339207,1.0572687224669604,0.4405286343612335,0.0,1.277533039647577,22.7,0.5726872246696035,0.2643171806167401,0.22026431718061676,0.22026431718061676,0.13215859030837004,0.0881057268722467,16.0,12.5,0.6167400881057269,0.7929515418502203,2.0,16.0,0.3524229074889868,21.0,0.7929515418502203,0.0,22.7,31.409691629955947,0.9691629955947136,3.7004405286343616,12.907488986784141,15.022026431718063,4.096916299559472,713.0,20.0,1.5418502202643172,57.1,2.5991189427312777,1.497797356828194,23.612334801762117,6.299559471365639,22.7,51.0,2.25,1.3656387665198237,0.0,0.0881057268722467,4.0,0.4845814977973568,0.13215859030837004,5.0,0.22,3.0,0.0,1.0,0.0,0.0,1.0,Attack
17,17,Michail Antonio,jm JAM,FW,West Ham,31.0,36,34,2971,33.0,10,8,10,0,1,8,1,0.3,0.24,0.55,0.3,0.55,12.8,12.3,6.9,19.2,0.39,0.21,0.6,0.37,0.58,33.0,10,82,27,32.9,2.48,0.82,0.12,0.37,14.9,0.0,0,1,12.8,12.3,0.15,-2.8,-2.3,33.0,437.0,21.242424242424242,62.3,197.93939393939394,38.84848484848485,251.0,9.787878787878787,77.7,121.0,5.818181818181818,63.0,37.0,1.9090909090909092,58.7,8,6.9,5.0,1.1,1.3636363636363635,0.7272727272727273,0.8181818181818182,0.36363636363636365,1.0303030303030303,33.0,0.696969696969697,0.5151515151515151,0.15151515151515152,0.2727272727272727,0.2727272727272727,0.21212121212121213,18.0,38.9,0.3333333333333333,0.5757575757575758,1.0,18.0,0.09090909090909091,26.0,0.42424242424242425,0.0,33.0,32.84848484848485,0.5151515151515151,1.7878787878787878,11.969696969696969,19.636363636363637,4.787878787878788,1083.0,50.0,2.8181818181818183,53.8,4.121212121212121,2.1818181818181817,26.333333333333332,6.2727272727272725,33.0,96.0,2.91,1.9393939393939394,0.030303030303030304,0.3333333333333333,11.0,0.2727272727272727,0.0,17.0,0.51,10.0,0.0,1.0,4.0,2.0,0.0,Attack
20,20,Adam Armstrong,eng ENG,FW,Southampton,24.0,23,17,1413,15.7,2,2,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,4.9,4.9,2.1,7.0,0.31,0.13,0.44,0.31,0.44,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,17.2,0.0,0,0,4.9,4.9,0.11,-2.9,-2.9,15.7,229.0,20.636942675159236,70.7,219.93630573248407,38.853503184713375,111.0,9.044585987261147,78.2,93.0,8.02547770700637,73.8,12.0,1.4012738853503186,54.5,2,2.1,1.4,-0.1,0.8280254777070064,0.7006369426751593,0.8280254777070064,0.0,1.5286624203821657,15.7,0.6369426751592357,0.25477707006369427,0.12738853503184713,0.12738853503184713,0.3821656050955414,0.0,6.0,0.0,0.3821656050955414,0.8280254777070064,1.0,12.0,0.1910828025477707,13.0,0.3821656050955414,0.0,15.7,31.273885350318473,0.5732484076433121,2.67515923566879,11.847133757961783,17.32484076433121,4.777070063694268,491.0,16.0,2.67515923566879,38.1,2.8662420382165608,0.8280254777070064,20.636942675159236,5.6687898089171975,15.7,36.0,2.29,1.4012738853503186,0.0,0.3184713375796179,6.0,0.1910828025477707,0.0,3.0,0.19,2.0,0.0,0.0,0.0,1.0,0.0,Attack
21,21,Stuart Armstrong,sct SCO,MF,Southampton,29.0,25,15,1473,16.4,2,0,2,0,0,1,0,0.12,0.0,0.12,0.12,0.12,3.3,3.3,1.9,5.2,0.2,0.12,0.32,0.2,0.32,16.4,2,38,9,23.7,2.32,0.55,0.05,0.22,20.5,0.0,0,0,3.3,3.3,0.09,-1.3,-1.3,16.4,590.0,45.36585365853659,79.3,525.4878048780488,130.7317073170732,321.0,23.53658536585366,83.2,217.0,15.243902439024392,86.8,25.0,2.5609756097560976,59.5,0,1.9,1.4,-1.9,1.524390243902439,2.804878048780488,1.402439024390244,0.24390243902439027,3.536585365853659,16.4,1.6463414634146343,1.1585365853658538,0.9146341463414634,0.3658536585365854,0.3658536585365854,0.5487804878048781,23.0,39.1,0.853658536585366,0.6097560975609757,1.0,9.0,0.48780487804878053,35.0,0.9146341463414634,0.0,16.4,57.31707317073171,1.3414634146341464,7.560975609756098,24.573170731707318,25.975609756097562,2.439024390243903,940.0,27.0,3.2926829268292686,50.0,2.439024390243903,1.6463414634146343,40.1829268292683,3.780487804878049,16.4,54.0,3.3,2.5609756097560976,0.12195121951219513,0.12195121951219513,3.0,0.24390243902439027,0.06097560975609757,3.0,0.18,1.0,0.0,1.0,0.0,1.0,0.0,Attack
24,24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32.0,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,6.6,4.9,1.1,6.0,0.58,0.09,0.67,0.43,0.52,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,15.0,0.0,0,2,6.6,4.9,0.15,-2.6,-0.9,11.5,137.0,18.08695652173913,65.9,156.6086956521739,35.130434782608695,90.0,10.0,78.3,37.0,5.565217391304348,57.8,4.0,0.782608695652174,44.4,1,1.1,0.9,-0.1,0.782608695652174,0.5217391304347826,0.6956521739130435,0.0,1.7391304347826086,11.5,0.9565217391304348,0.43478260869565216,0.5217391304347826,0.34782608695652173,0.08695652173913043,0.2608695652173913,10.0,30.0,0.6086956521739131,1.0434782608695652,1.0,11.0,0.0,11.0,0.34782608695652173,0.0,11.5,27.47826086956522,0.17391304347826086,2.869565217391304,10.0,14.695652173913043,4.260869565217392,315.0,2.0,0.6086956521739131,28.6,1.391304347826087,0.34782608695652173,19.043478260869566,3.739130434782609,11.5,23.0,2.0,1.2173913043478262,0.0,0.17391304347826086,4.0,0.17391304347826086,0.08695652173913043,3.0,0.26,2.0,0.0,0.0,1.0,0.0,0.0,Attack
25,25,Jordan Ayew,gh GHA,FWMF,Crystal Palace,29.0,31,23,2019,22.4,3,3,3,0,0,2,0,0.13,0.13,0.27,0.13,0.27,4.0,4.0,3.6,7.6,0.18,0.16,0.34,0.18,0.34,22.4,3,35,8,22.9,1.56,0.36,0.09,0.38,16.8,1.0,0,0,4.0,4.0,0.11,-1.0,-1.0,22.4,576.0,33.660714285714285,76.4,352.41071428571433,67.36607142857143,346.0,17.36607142857143,88.9,180.0,10.178571428571429,78.9,17.0,2.410714285714286,31.5,3,3.6,2.9,-0.6,1.0267857142857144,1.3839285714285716,0.7142857142857143,0.26785714285714285,1.6071428571428572,22.4,2.098214285714286,1.3392857142857144,0.8928571428571429,0.8928571428571429,0.3125,0.7589285714285715,31.0,54.8,0.625,1.4732142857142858,3.0,30.0,0.6696428571428572,62.0,0.6696428571428572,0.0,22.4,48.34821428571429,0.6696428571428572,6.741071428571429,22.8125,19.955357142857142,2.991071428571429,1083.0,34.0,3.169642857142857,47.9,3.7500000000000004,3.4375,34.642857142857146,4.196428571428572,22.4,58.0,2.59,1.6964285714285716,0.044642857142857144,0.08928571428571429,3.0,0.5803571428571429,0.044642857142857144,6.0,0.27,5.0,0.0,0.0,0.0,1.0,0.0,Attack
36,36,Harvey Barnes,eng ENG,MFFW,Leicester City,23.0,32,24,2101,23.3,6,10,6,0,0,2,0,0.26,0.43,0.69,0.26,0.69,6.5,6.5,4.9,11.3,0.28,0.21,0.49,0.28,0.49,23.3,6,66,24,36.4,2.83,1.03,0.09,0.25,16.1,0.0,0,0,6.5,6.5,0.1,-0.5,-0.5,23.3,550.0,32.44635193133047,72.8,296.09442060085837,81.80257510729614,366.0,18.969957081545065,82.8,137.0,8.540772532188841,68.8,15.0,1.4592274678111588,44.1,10,4.9,3.2,5.1,1.2446351931330473,1.1158798283261802,1.0300429184549356,0.3004291845493562,2.1459227467811157,23.3,1.3304721030042919,0.6866952789699571,0.38626609442060084,0.4721030042918455,0.4721030042918455,0.3004291845493562,23.0,30.4,0.6866952789699571,1.0300429184549356,1.0,23.0,0.2145922746781116,36.0,0.3004291845493562,0.0,23.3,44.54935622317596,0.7296137339055794,4.935622317596566,15.364806866952788,24.84978540772532,5.364806866952789,1038.0,31.0,3.2188841201716736,41.3,2.4892703862660945,1.8454935622317596,35.23605150214592,5.92274678111588,23.3,62.0,2.66,2.060085836909871,0.0,0.3004291845493562,4.0,0.12875536480686695,0.0,13.0,0.56,11.0,0.0,0.0,2.0,0.0,0.0,Attack
43,43,Saïd Benrahma,dz ALG,MF,West Ham,25.0,32,26,2168,24.1,8,6,8,0,0,0,0,0.33,0.25,0.58,0.33,0.58,6.0,6.0,4.5,10.5,0.25,0.19,0.43,0.25,0.43,24.1,8,63,20,31.7,2.62,0.83,0.13,0.4,19.6,3.0,0,0,6.0,6.0,0.1,2.0,2.0,24.1,632.0,34.89626556016597,75.1,368.92116182572613,83.94190871369294,367.0,17.925311203319502,85.0,191.0,10.373443983402488,76.4,32.0,2.821576763485477,47.1,6,4.5,3.3,1.5,1.3278008298755186,1.5352697095435683,1.2033195020746887,0.41493775933609955,2.033195020746888,24.1,1.1618257261410787,0.7053941908713692,0.6639004149377593,0.37344398340248963,0.12448132780082986,0.6224066390041494,38.0,39.5,0.954356846473029,0.7053941908713692,1.0,16.0,0.37344398340248963,37.0,0.33195020746887965,0.0,24.1,46.18257261410788,0.49792531120331945,5.767634854771784,17.46887966804979,23.568464730290454,3.568464730290456,1113.0,37.0,3.3195020746887964,46.3,2.572614107883817,1.2448132780082988,32.946058091286304,5.435684647302904,24.1,74.0,3.07,2.3651452282157677,0.0,0.2904564315352697,7.0,0.12448132780082986,0.0,8.0,0.33,7.0,0.0,0.0,1.0,0.0,0.0,Attack
45,45,Christian Benteke,be BEL,FW,Crystal Palace,30.0,25,11,1145,12.7,4,1,4,0,0,3,0,0.31,0.08,0.39,0.31,0.39,5.6,5.6,1.5,7.1,0.44,0.12,0.56,0.44,0.56,12.7,4,39,13,33.3,3.07,1.02,0.1,0.31,12.5,0.0,0,0,5.6,5.6,0.14,-1.6,-1.6,12.7,196.0,24.015748031496063,64.3,214.0157480314961,38.031496062992126,116.0,12.51968503937008,73.0,54.0,7.0078740157480315,60.7,10.0,1.1811023622047245,66.7,1,1.5,1.0,-0.5,1.0236220472440944,0.9448818897637796,0.7874015748031497,0.0,1.4173228346456694,12.7,0.2362204724409449,0.15748031496062992,0.07874015748031496,0.15748031496062992,0.0,0.15748031496062992,6.0,33.3,0.31496062992125984,0.5511811023622047,3.0,4.0,0.15748031496062992,5.0,2.598425196850394,0.0,12.7,35.275590551181104,2.9921259842519685,4.803149606299213,15.433070866141733,15.354330708661418,5.590551181102363,448.0,9.0,1.0236220472440944,69.2,3.070866141732284,1.3385826771653544,26.692913385826774,6.535433070866142,12.7,23.0,1.81,1.4960629921259843,0.0,0.07874015748031496,1.0,0.15748031496062992,0.0,2.0,0.16,1.0,0.0,0.0,0.0,1.0,0.0,Attack
46,46,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30.0,18,13,1102,12.2,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,1.8,1.8,0.5,2.4,0.15,0.04,0.19,0.15,0.19,12.2,0,19,5,26.3,1.55,0.41,0.0,0.0,19.9,2.0,0,0,1.8,1.8,0.1,-1.8,-1.8,12.2,209.0,27.95081967213115,61.3,242.21311475409837,56.31147540983607,132.0,13.606557377049182,79.5,50.0,6.967213114754099,58.8,15.0,3.6885245901639347,33.3,1,0.5,0.8,0.5,0.49180327868852464,0.5737704918032788,0.9016393442622951,0.7377049180327869,0.6557377049180328,12.2,1.3114754098360657,0.49180327868852464,0.5737704918032788,0.5737704918032788,0.1639344262295082,0.4098360655737705,20.0,25.0,1.2295081967213115,0.9016393442622951,2.0,9.0,0.9836065573770493,28.0,1.8032786885245902,0.0,12.2,38.77049180327869,1.639344262295082,6.39344262295082,14.344262295081968,18.524590163934427,1.8032786885245902,473.0,14.0,1.8032786885245902,63.6,1.2295081967213115,1.557377049180328,24.180327868852462,3.278688524590164,12.2,22.0,1.8,1.3114754098360657,0.0,0.0819672131147541,3.0,0.1639344262295082,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,Attack
