,Unnamed: 0,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xAG,npxG+xAG,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,shoot.90s,shoot.Gls,shoot.Sh,shoot.SoT,shoot.SoT%,shoot.Sh/90,shoot.SoT/90,shoot.G/Sh,shoot.G/SoT,shoot.Dist,shoot.FK,shoot.PK,shoot.PKatt,shoot.xG,shoot.npxG,shoot.npxG/Sh,shoot.G-xG,shoot.np:G-xG,pass.90s,pass.Cmp,pass.Att,pass.Cmp%,pass.TotDist,pass.PrgDist,pass.short.Cmp,pass.short.Att,pass.short.Cmp%,pass.med.Cmp,pass.med.Att,pass.med.Cmp%,pass.long.Cmp,pass.long.Att,pass.long.Cmp%,pass.Ast,pass.xAG,pass.xA,pass.A-xAG,pass.KP,pass.1/3,pass.PPA,pass.CrsPA,pass.Prog,defense.90s,defense.Plyrs_Tkld,defense.TklW,defense.Def 3rd,defense.Mid 3rd,defense.Att 3rd,defense.Tkl_Drib,defense.Att,defense.Tkl%,defense.Past,defense.Blocks,defense.Sh,defense.Pass,defense.Int,defense.Tkl+Int,defense.Clr,defense.Err,pos.90s,pos.Touches,pos.Def Pen,pos.Def 3rd,pos.Mid 3rd,pos.Att 3rd,pos.Att Pen,pos.Live,pos.drib.Succ,pos.drib.Att,pos.drib.Succ%,pos.drib.Mis,pos.drib.Dis,pos.rec.Rec,pos.rec.Prog,sca.S.90s,sca.S.SCA,sca.S.SCA90,sca.S.PassLive,sca.S.PassDead,sca.S.Drib,sca.S.Sh,sca.S.Fld,sca.S.Def,sca.S.GCA,sca.S.GCA90,sca.G.PassLive,sca.G.PassDead,sca.G.Drib,sca.G.Sh,sca.G.Fld,sca.G.Def,BaseGroup
3,3,Kristoffer Ajer,no NOR,DF,Brentford,23.0,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,2.2,3.1,0.04,0.1,0.14,0.04,0.14,22.2,1,7,1,14.3,0.32,0.05,0.14,1.0,8.8,0.0,0,0,0.8,0.8,0.12,0.2,0.2,22.2,627.0,40.18018018018018,70.3,456.44144144144144,213.46846846846847,303.0,16.756756756756758,81.5,255.0,15.405405405405405,74.6,47.0,4.72972972972973,44.8,3,2.2,1.8,0.8,0.3603603603603604,1.8468468468468469,0.5855855855855856,0.0900900900900901,2.9729729729729732,22.2,1.3063063063063063,0.8108108108108109,0.9459459459459459,0.2702702702702703,0.0900900900900901,0.5855855855855856,21.0,61.9,0.3603603603603604,0.8558558558558559,11.0,8.0,1.1711711711711712,55.0,3.3333333333333335,0.0,22.2,49.054054054054056,4.81981981981982,19.90990990990991,21.576576576576578,8.018018018018019,1.3963963963963963,1089.0,13.0,0.8108108108108109,72.2,1.1261261261261262,0.3153153153153153,23.693693693693696,0.7207207207207208,22.2,33.0,1.5,0.9459459459459459,0.2702702702702703,0.0900900900900901,1.0,0.04504504504504505,0.0900900900900901,6.0,0.27,2.0,1.0,2.0,0.0,1.0,0.0,Defense
15,15,Daniel Amartey,gh GHA,DF,Leicester City,26.0,28,23,2123,23.6,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.01,0.01,0.0,0.01,23.6,0,2,1,50.0,0.08,0.04,0.0,0.0,34.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0,23.6,1399.0,65.50847457627118,90.5,1069.7457627118642,355.9322033898305,508.0,23.30508474576271,92.4,769.0,34.32203389830508,94.9,103.0,5.932203389830508,73.6,0,0.3,0.4,-0.3,0.1694915254237288,3.0084745762711864,0.0423728813559322,0.0,2.0762711864406778,23.6,1.1016949152542372,0.5508474576271186,0.8050847457627118,0.2966101694915254,0.0,0.8050847457627118,29.0,65.5,0.423728813559322,1.271186440677966,22.0,8.0,0.8898305084745762,47.0,3.9406779661016946,4.0,23.6,74.23728813559322,10.508474576271185,36.99152542372881,35.29661016949152,2.2033898305084745,0.2542372881355932,1752.0,6.0,0.2966101694915254,85.7,0.2966101694915254,0.0423728813559322,54.02542372881356,0.0423728813559322,23.6,17.0,0.72,0.7203389830508474,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defense
16,16,Joachim Andersen,dk DEN,DF,Crystal Palace,25.0,34,32,2916,32.4,0,3,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09,0.9,0.9,2.1,2.9,0.03,0.06,0.09,0.03,0.09,32.4,0,8,3,37.5,0.25,0.09,0.0,0.0,15.2,1.0,0,0,0.9,0.9,0.11,-0.9,-0.9,32.4,1911.0,72.56172839506173,81.3,1362.4691358024693,488.7345679012346,410.0,14.814814814814815,85.4,1138.0,37.77777777777778,93.0,349.0,18.641975308641975,57.8,3,2.1,1.9,0.9,0.617283950617284,4.660493827160494,0.3395061728395062,0.0617283950617284,2.685185185185185,32.4,0.9259259259259259,0.7098765432098766,0.6481481481481481,0.2777777777777778,0.0,0.4938271604938272,27.0,59.3,0.3395061728395062,0.8950617283950618,19.0,10.0,1.1419753086419753,67.0,3.858024691358025,3.0,32.4,80.67901234567901,13.117283950617285,47.46913580246914,31.01851851851852,2.469135802469136,0.9876543209876544,2614.0,7.0,0.2777777777777778,77.8,0.2469135802469136,0.2469135802469136,57.46913580246914,0.0617283950617284,32.4,31.0,0.96,0.8641975308641976,0.0308641975308642,0.0,1.0,0.0,0.0308641975308642,4.0,0.12,3.0,0.0,0.0,1.0,0.0,0.0,Defense
39,39,Jan Bednarek,pl POL,DF,Southampton,25.0,31,30,2629,29.2,4,0,4,0,0,10,0,0.14,0.0,0.14,0.14,0.14,2.4,2.4,0.5,2.9,0.08,0.02,0.1,0.08,0.1,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,8.9,0.0,0,0,2.4,2.4,0.13,1.6,1.6,29.2,1201.0,51.02739726027397,80.6,761.0958904109589,274.0068493150685,462.0,17.910958904109588,88.3,597.0,23.732876712328768,86.1,117.0,7.910958904109589,50.6,0,0.5,0.7,-0.5,0.20547945205479454,2.7739726027397262,0.03424657534246575,0.03424657534246575,1.5753424657534247,29.2,1.095890410958904,0.5136986301369864,0.6164383561643836,0.4452054794520548,0.03424657534246575,0.6506849315068494,33.0,57.6,0.4794520547945206,1.6438356164383563,27.0,21.0,2.4657534246575343,104.0,4.828767123287672,0.0,29.2,62.397260273972606,7.02054794520548,29.554794520547947,30.924657534246577,2.363013698630137,1.0273972602739727,1822.0,1.0,0.03424657534246575,100.0,0.2397260273972603,0.136986301369863,33.97260273972603,0.136986301369863,29.2,22.0,0.75,0.5136986301369864,0.10273972602739727,0.0,1.0,0.0,0.10273972602739727,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Defense
59,59,Dan Burn,eng ENG,DF,Newcastle Utd,29.0,16,16,1440,16.0,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,0.4,1.3,0.06,0.03,0.08,0.06,0.08,16.0,0,11,1,9.1,0.69,0.06,0.0,0.0,10.3,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9,16.0,459.0,36.6875,78.2,543.8125,176.5625,154.0,11.625,82.8,263.0,19.0,86.5,35.0,5.125,42.7,1,0.4,0.3,0.6,0.25,2.0,0.0,0.0,1.5625,16.0,0.9375,0.625,0.625,0.25,0.0625,0.4375,11.0,63.6,0.25,1.375,14.0,8.0,1.25,35.0,6.3125,0.0,16.0,48.5625,8.0625,25.875,20.3125,2.5625,1.3125,777.0,0.0,0.0,,0.25,0.1875,23.875,0.125,16.0,7.0,0.44,0.375,0.0,0.0,0.0,0.0,0.0625,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Defense
60,60,Dan Burn,eng ENG,DF,Brighton,29.0,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09,1.6,1.5,0.5,2.0,0.14,0.04,0.18,0.13,0.18,11.4,1,7,3,42.9,0.62,0.26,0.14,0.33,8.4,0.0,0,0,1.6,1.5,0.22,-0.6,-0.5,11.4,523.0,56.57894736842105,81.1,889.7368421052631,277.8070175438596,171.0,17.982456140350877,83.4,298.0,29.035087719298243,90.0,49.0,7.894736842105263,54.4,0,0.5,0.1,-0.5,0.17543859649122806,3.7719298245614032,0.08771929824561403,0.0,3.245614035087719,11.4,1.9298245614035088,1.0526315789473684,1.1403508771929824,0.7017543859649122,0.08771929824561403,0.5263157894736842,15.0,40.0,0.7894736842105263,1.2280701754385965,10.0,4.0,2.1052631578947367,46.0,4.473684210526316,0.0,11.4,69.3859649122807,7.982456140350877,33.07017543859649,32.80701754385965,3.9473684210526314,1.0526315789473684,791.0,0.0,0.2631578947368421,0.0,0.6140350877192983,0.08771929824561403,44.3859649122807,0.2631578947368421,11.4,10.0,0.88,0.5263157894736842,0.0,0.0,1.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defense
62,62,Sam Byram,eng ENG,DF,Norwich City,27.0,15,11,1027,11.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.1,0.07,0.03,0.1,0.07,0.1,11.4,0,7,1,14.3,0.61,0.09,0.0,0.0,10.1,0.0,0,0,0.8,0.8,0.11,-0.8,-0.8,11.4,393.0,45.175438596491226,76.3,524.6491228070175,173.0701754385965,219.0,21.75438596491228,88.3,144.0,17.280701754385966,73.1,17.0,3.1578947368421053,47.2,0,0.4,0.3,-0.4,0.3508771929824561,1.3157894736842104,0.17543859649122806,0.0,1.4912280701754386,11.4,2.1052631578947367,1.3157894736842104,1.4912280701754386,0.5263157894736842,0.08771929824561403,1.6666666666666665,27.0,70.4,0.7017543859649122,1.8421052631578947,11.0,10.0,1.9298245614035088,46.0,4.2105263157894735,0.0,11.4,58.1578947368421,6.9298245614035086,26.666666666666664,21.842105263157894,10.087719298245613,1.4035087719298245,663.0,3.0,0.7017543859649122,37.5,0.7017543859649122,0.3508771929824561,29.035087719298243,0.7894736842105263,11.4,12.0,1.05,0.5263157894736842,0.08771929824561403,0.08771929824561403,2.0,0.08771929824561403,0.08771929824561403,3.0,0.26,0.0,0.0,0.0,1.0,1.0,1.0,Defense
73,73,Craig Cathcart,nir NIR,DF,Watford,32.0,31,27,2396,26.6,0,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,0.2,0.2,1.1,1.3,0.01,0.04,0.05,0.01,0.05,26.6,0,3,0,0.0,0.11,0.0,0.0,,10.2,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,26.6,767.0,35.82706766917293,80.5,602.6315789473684,201.01503759398494,231.0,10.375939849624059,83.7,418.0,17.894736842105264,87.8,112.0,6.917293233082707,60.9,1,1.1,0.4,-0.1,0.11278195488721804,1.8045112781954886,0.15037593984962405,0.03759398496240601,1.3909774436090225,26.6,1.2030075187969924,0.5639097744360902,0.9398496240601504,0.22556390977443608,0.03759398496240601,0.6015037593984962,30.0,53.3,0.5263157894736842,1.4661654135338344,29.0,10.0,1.0526315789473684,60.0,4.962406015037594,3.0,26.6,45.338345864661655,7.63157894736842,24.81203007518797,18.64661654135338,2.0676691729323307,0.41353383458646614,1206.0,0.0,0.03759398496240601,0.0,0.22556390977443608,0.07518796992481203,23.909774436090224,0.0,26.6,8.0,0.3,0.22556390977443608,0.0,0.0,0.0,0.0,0.07518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defense
76,76,Trevoh Chalobah,eng ENG,DF,Chelsea,22.0,20,17,1449,16.1,3,1,3,0,0,2,0,0.19,0.06,0.25,0.19,0.25,1.3,1.3,0.4,1.7,0.08,0.03,0.11,0.08,0.11,16.1,3,9,7,77.8,0.56,0.43,0.33,0.43,18.8,0.0,0,0,1.3,1.3,0.15,1.7,1.7,16.1,1158.0,79.6894409937888,90.3,1152.7329192546583,329.44099378881987,564.0,37.701863354037265,92.9,517.0,34.03726708074534,94.3,60.0,5.838509316770186,63.8,1,0.4,0.5,0.6,0.24844720496894407,6.583850931677018,0.37267080745341613,0.0,2.795031055900621,16.1,2.484472049689441,1.6770186335403725,1.3664596273291925,1.1180124223602483,0.0,1.4906832298136645,31.0,77.4,0.43478260869565216,0.9937888198757763,6.0,10.0,1.1801242236024843,59.0,2.670807453416149,2.0,16.1,89.62732919254658,4.22360248447205,29.751552795031053,51.80124223602484,8.571428571428571,0.6211180124223602,1443.0,10.0,0.7453416149068323,83.3,0.6211180124223602,0.43478260869565216,66.52173913043478,0.37267080745341613,16.1,14.0,0.87,0.6832298136645962,0.0,0.0,1.0,0.06211180124223602,0.06211180124223602,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Defense
83,83,Andreas Christensen,dk DEN,DF,Chelsea,25.0,19,17,1496,16.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.03,0.02,0.04,0.03,0.04,16.6,0,5,0,0.0,0.3,0.0,0.0,,19.7,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,16.6,1201.0,80.48192771084337,89.9,1274.9397590361446,447.22891566265054,495.0,32.2289156626506,92.5,586.0,38.01204819277108,92.9,100.0,8.132530120481928,74.1,0,0.3,0.5,-0.3,0.36144578313253006,5.301204819277108,0.36144578313253006,0.06024096385542168,3.192771084337349,16.6,0.8433734939759036,0.48192771084337344,0.5421686746987951,0.24096385542168672,0.06024096385542168,0.24096385542168672,7.0,57.1,0.18072289156626503,0.8433734939759036,6.0,8.0,1.7469879518072287,43.0,3.4337349397590358,1.0,16.6,88.67469879518072,8.734939759036143,38.73493975903614,46.3855421686747,4.036144578313253,0.3012048192771084,1472.0,4.0,0.24096385542168672,100.0,0.18072289156626503,0.06024096385542168,63.73493975903614,0.18072289156626503,16.6,9.0,0.54,0.48192771084337344,0.0,0.06024096385542168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defense
