,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,1817,159,714,694,434,23,1817,34,68,50.0,38,23,1018,40,Matches,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,713,22,84,293,341,93,713,20,35,57.1,59,34,536,143,Matches,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,DFMF,Wolves,20,2001,20.3,1277,50,457,450,391,40,1277,42,81,51.9,44,27,729,60,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1089,107,442,479,178,31,1089,13,18,72.2,25,7,526,16,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,953,56,330,525,103,10,953,0,2,0.0,4,3,741,4,Matches,eaeca114
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,681,36,167,293,228,12,681,15,40,37.5,21,8,393,27,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,1688,32,246,1101,357,20,1688,20,32,62.5,16,13,1276,42,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,3000,70,597,1377,1049,82,3000,19,39,48.7,41,19,1887,119,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,1470,1044,1453,17,0,0,1470,1,1,100.0,1,0,835,0,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,24.3,1255,77,325,760,189,7,1255,21,31,67.7,38,24,667,13,Matches,cc700722
11,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,334,24,73,185,81,13,333,12,27,44.4,13,19,201,17,Matches,cea4ee8f
12,Dele Alli,eng ENG,MFFW,Everton,25,1996,3.8,222,13,50,106,69,13,222,5,14,35.7,15,6,132,21,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,721,22,136,299,301,40,721,26,39,66.7,44,24,466,54,Matches,862a1c15
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1763,70,448,620,712,68,1763,15,35,42.9,43,25,1029,89,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,289,14,78,163,50,3,289,6,8,75.0,8,3,177,5,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1752,248,873,833,52,6,1752,6,7,85.7,7,1,1275,1,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,2614,425,1538,1005,80,32,2614,7,9,77.8,8,8,1862,2,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,1084,17,59,395,648,158,1083,50,93,53.8,136,72,869,207,Matches,ac05f970
19,Cameron Archer,eng ENG,FWMF,Aston Villa,19,2001,0.3,11,0,1,3,7,1,11,0,1,0.0,1,2,7,0,Matches,05e8ca6d
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,42,40,42,0,0,0,42,0,0,,0,0,20,0,Matches,2f965a72
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,491,9,42,186,272,75,491,16,42,38.1,45,13,324,89,Matches,68c720b5
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,940,22,124,403,426,40,940,27,54,50.0,40,27,659,62,Matches,97333cf5
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,147,126,147,0,0,0,147,0,0,,0,0,80,0,Matches,28d596a0
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,10,1,4,1,5,0,10,0,0,,0,0,6,0,Matches,b391383a
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,316,2,33,115,169,49,315,2,7,28.6,16,4,219,43,Matches,d5dd5f1f
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,1083,15,151,511,447,67,1083,34,71,47.9,84,77,776,94,Matches,da052c14
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1881,178,906,756,243,36,1881,23,37,62.2,42,10,1142,29,Matches,420d7c7d
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,2001,110,611,928,477,53,2001,15,19,78.9,21,10,1415,54,Matches,53cad200
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,403,326,401,2,0,0,403,1,1,100.0,0,0,148,0,Matches,1c0eea98
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,349,3,30,122,205,34,349,13,29,44.8,33,24,237,37,Matches,3a233281
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,113,25,73,37,3,0,113,0,1,0.0,3,1,59,0,Matches,a1232f4e
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,22,1,2,7,13,6,22,0,2,0.0,4,0,14,4,Matches,31822f8c
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,173,10,16,83,75,31,173,4,7,57.1,18,3,107,23,Matches,93feac6e
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,419,15,83,216,126,15,419,19,28,67.9,21,12,270,29,Matches,2886c9b5
35,Ross Barkley,eng ENG,MFFW,Chelsea,27,1993,2.0,151,0,6,49,96,7,151,7,8,87.5,3,7,121,14,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,296,6,22,158,119,24,295,5,8,62.5,37,22,223,53,Matches,2691c772
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,1038,17,115,358,579,125,1038,31,75,41.3,58,43,821,138,Matches,3ea50f67
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,85,3,27,50,9,0,85,1,5,20.0,9,2,53,2,Matches,cd4256d3
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,573,65,290,216,71,6,573,0,1,0.0,2,0,324,4,Matches,30db8574
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1822,205,863,903,69,30,1822,1,1,100.0,7,4,992,4,Matches,4115ce4e
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,58,2,23,19,18,4,58,1,5,20.0,3,3,30,4,Matches,50dc94ce
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,302,11,56,178,72,7,302,3,9,33.3,5,6,180,9,Matches,50dc94ce
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,99,92,99,0,0,0,99,0,0,,0,0,25,0,Matches,7b4de647
