,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,1050,32,73,499,488,173,1047,38,77,49.4,86,41,731,187,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,2289,267,1098,1141,59,22,2289,4,6,66.7,13,4,1641,10,Matches,b96b595c
3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,285,11,64,169,55,8,285,1,4,25.0,9,5,196,7,Matches,f9c927de
4,Felix Afena-Gyan,gh GHA,FWMF,Roma,18,2003,7.4,271,0,17,90,170,38,271,5,20,25.0,42,21,207,55,Matches,0154d290
5,Kevin Agudelo,co COL,MFFW,Spezia,22,1998,13.7,574,10,71,257,263,33,574,28,51,54.9,40,37,367,46,Matches,46fa7204
6,Ola Aina,ng NGA,DF,Torino,24,1996,16.0,931,48,225,435,285,26,931,18,40,45.0,32,10,524,40,Matches,246d153b
7,Marley Aké,fr FRA,FWMF,Juventus,20,2001,0.9,23,0,4,12,8,0,23,0,2,0.0,3,1,15,2,Matches,414e1f69
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,165,11,45,86,37,1,165,6,10,60.0,13,4,107,9,Matches,fdf4b948
9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,2163,14,255,1218,714,30,2163,27,44,61.4,29,23,1674,80,Matches,5294a83f
10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,993,96,423,457,127,23,993,8,10,80.0,6,3,477,8,Matches,aa5322d5
11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,41,1,16,23,3,0,41,0,1,0.0,0,0,17,0,Matches,35b4bc62
12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,1424,123,590,568,285,33,1424,23,37,62.2,27,20,732,33,Matches,bcc81786
13,Nadiem Amiri,de GER,MFFW,Genoa,24,1996,7.6,403,1,34,195,180,17,403,12,29,41.4,33,13,278,31,Matches,555d5edd
14,Ethan Ampadu,wls WAL,MFDF,Venezia,20,2000,25.4,1472,126,589,703,194,12,1472,13,17,76.5,19,10,762,12,Matches,10b9fa99
15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,795,28,175,527,101,0,795,10,12,83.3,9,6,573,3,Matches,5a2cb25d
