,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,0.50,0.12,0.61,0.41,0.53,19.2,16.8,4.9,21.8,0.56,0.14,0.70,0.49,0.63,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,30,29,2536,28.2,4,0,4,0,0,2,1,0.14,0.00,0.14,0.14,0.14,2.2,2.2,0.7,2.9,0.08,0.02,0.10,0.08,0.10,Matches,b96b595c
3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,12,4,443,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.03,0.10,0.12,0.03,0.12,Matches,f9c927de
4,Felix Afena-Gyan,gh GHA,FWMF,Roma,18,2003,17,6,668,7.4,2,0,2,0,0,5,1,0.27,0.00,0.27,0.27,0.27,1.5,1.5,0.7,2.2,0.20,0.10,0.30,0.20,0.30,Matches,0154d290
5,Kevin Agudelo,co COL,MFFW,Spezia,22,1998,23,12,1237,13.7,3,1,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,2.0,2.0,1.1,3.1,0.15,0.08,0.23,0.15,0.23,Matches,46fa7204
6,Ola Aina,ng NGA,DF,Torino,24,1996,21,17,1437,16.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.6,2.0,0.02,0.10,0.12,0.02,0.12,Matches,246d153b
7,Marley Aké,fr FRA,FWMF,Juventus,20,2001,4,0,77,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,414e1f69
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,10,4,315,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.01,0.07,0.06,0.07,Matches,fdf4b948
9,Luis Alberto,es ESP,MF,Lazio,28,1992,34,27,2353,26.1,5,9,5,0,0,5,0,0.19,0.34,0.54,0.19,0.54,4.1,4.1,7.9,11.9,0.16,0.30,0.46,0.16,0.46,Matches,5294a83f
10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,19,17,1466,16.3,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.3,1.3,0.6,1.9,0.08,0.03,0.12,0.08,0.12,Matches,aa5322d5
11,Wisdom Amey,it ITA,DF,Bologna,15,2005,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,35b4bc62
12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,32,31,2646,29.4,1,1,1,0,0,9,2,0.03,0.03,0.07,0.03,0.07,3.2,3.2,1.2,4.4,0.11,0.04,0.15,0.11,0.15,Matches,bcc81786
13,Nadiem Amiri,de GER,MFFW,Genoa,24,1996,13,9,683,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,1.0,1.0,2.1,3.1,0.14,0.27,0.41,0.14,0.41,Matches,555d5edd
14,Ethan Ampadu,wls WAL,MFDF,Venezia,20,2000,29,26,2282,25.4,0,3,0,0,0,13,2,0.00,0.12,0.12,0.00,0.12,0.3,0.3,1.7,2.1,0.01,0.07,0.08,0.01,0.08,Matches,10b9fa99
15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,23,8,944,10.5,1,0,1,0,0,6,0,0.10,0.00,0.10,0.10,0.10,0.2,0.2,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches,5a2cb25d
16,Felipe Anderson,br BRA,FW,Lazio,28,1993,38,33,2888,32.1,6,8,6,0,0,2,0,0.19,0.25,0.44,0.19,0.44,7.1,7.1,6.7,13.8,0.22,0.21,0.43,0.22,0.43,Matches,9f1893b9
17,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,39aa05a7
18,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,19,5,691,7.7,0,3,0,0,0,2,0,0.00,0.39,0.39,0.00,0.39,0.4,0.4,2.2,2.6,0.05,0.29,0.34,0.05,0.34,Matches,bbafc0c4
19,Janis Antiste,fr FRA,FW,Spezia,18,2002,18,9,796,8.8,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.3,1.6,0.14,0.03,0.18,0.14,0.18,Matches,38d9ce53
20,Mattia Aramu,it ITA,MFFW,Venezia,26,1995,32,25,2100,23.3,7,5,4,3,4,6,0,0.30,0.21,0.51,0.17,0.39,7.2,4.1,4.7,8.7,0.31,0.20,0.51,0.17,0.37,Matches,0847b5a5
21,Marko Arnautović,at AUT,FW,Bologna,32,1989,33,32,2694,29.9,14,1,12,2,3,6,0,0.47,0.03,0.50,0.40,0.43,15.0,12.8,4.3,17.1,0.50,0.14,0.65,0.43,0.57,Matches,00459419
22,Tolgay Arslan,de GER,MF,Udinese,30,1990,30,22,1658,18.4,1,0,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,1.7,1.7,1.9,3.6,0.09,0.10,0.19,0.09,0.19,Matches,963a328b
23,Arthur,br BRA,FW,Fiorentina,23,1998,14,8,749,8.3,2,2,2,0,0,1,0,0.24,0.24,0.48,0.24,0.48,4.3,4.3,0.4,4.8,0.52,0.05,0.58,0.52,0.58,Matches,a820e429
24,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,19,7,754,8.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.6,0.06,0.02,0.08,0.06,0.08,Matches,a69cc629
